,품목고시 명칭에 따른 보조기기 영역,,
,,,
,연번,품목고시 명칭,보조기기 영역
,227,발목-발 보조기,ADL
,228,발목-발 장치,ADL
,229,발-발가락 관절,ADL
,230,발성기,AAC
,231,방문,EC
,232,방문 개폐장치,EC
,233,방수기능이 없는 일회용 요실금 패드,ADL
,234,방향 안내용 전자 보조기기,S
,235,배 근육 지지대,ADL
,236,배 보조기 마감(성형외관) 부분품,ADL
,237,배 보조기 장착부 부분품,ADL
,238,배 탈장 지지대,ADL
,239,배관 시설 및 잠금 꼭지,EC
,240,배타기용 보조기기,L
,241,배회 감지기(위치 확인 및 추적 시스템),ADL
,242,벨트형 고정장치 시스템이 포함된 일회용 요실금 제품,ADL
,243,"벽, 바닥 또는 천장 고정식 호이스트",ADL
,244,벽에 설치된 소변기,ADL
,245,변기,ADL
,246,변기 좌석용 패드,ADL
,247,변기에 고정된 높이가 높은 변기 좌석,ADL
,248,변형 교정 맞춤 신발,ADL
,249,보조기로 사용되지 않는 근육 자극장치,ADL
,250,보조인 조종형 전동휠체어,WC
,251,보청기,S
,252,보청기용 음향 중계시스템,S
,253,보행 보조기기 미사용 시 보관을 위한 고정 장치,WC
,254,보행 보조기기 사용을 가능하게 해주는 액세사리,WC
,255,보행 보조기기용 끝부분,WC
,256,보행 보조기기용 동력보조 장치,WC
,257,보행 보조기기용 라이트 및 안전 신호 장치,WC
,258,보행 보조기기용 손잡이,WC
,259,보행 보조기기용 좌석,WC
,260,보행 보조기기용 타이어 및 바퀴,WC
,261,보행 보조차,WC
,262,보행차 및 보행틀의 높이 조절용 액세서리,WC
,263,보행틀(보행차),WC
,264,부가 굴곡 장치,ADL
,265,부분 손 의지,ADL
,266,부분가발,ADL
,267,부상 방지용 안전 매트,ADL
,268,부상방지를 위한 보행 보조기기 액세사리,WC
,269,부유용 보조기기,ADL
,270,부착형 리프트 플랫폼,EC
,271,부하 감쇠기(완충기),ADL
,272,분류 훈련용 보조기기,ADL
,273,분리 가능한 손잡이 및 핸드그립,ADL
,274,분리 조절식 침대용 등 지지대 및 다리 지지대,SP
