,,,,,,,,,,,          ,,,
구분,과목,영역,품목코드,품목 및 제품명,센터입고일,가격,재원정보,구입처,사용위치,폐기일자,고장/수리 폐기 여부,구성물품,비고,이미지
43,보조기기,컴퓨터,GWAT-19-CA-03,안구마우스(TM5mini),2019년 12월 23일,"7,710,000",구입,㈜에이블라이프,상담실,폐기대상아님,정상,"1. 마우스본체
2. USB 케이블 1개
3. 프로그램설치 USB 1개
4. Steel Plate 1개
5. Vesa Plate 1개
6. 거치대(워크스테이션) 1식                ",,
44,보조기기,컴퓨터,GWAT-19-CA-04,인테그라마우스 플러스,2019년 12월 23일,"4,060,000",구입,㈜에이블라이프,상담실,폐기대상아님,정상,"1. USB
2. 인테그리마우스 플러스 본체",,
45,보조기기,컴퓨터,GWAT-19-CA-05,헤드 마우스 나노,2019년 12월 23일,"2,610,000",구입,㈜에이블라이프,2층 전시실 - CA,폐기대상아님,정상,헤드 마우스 나노 본체,,
46,보조기기,컴퓨터,GWAT-19-CA-06,엔에이블러트랙볼,2019년 12월 23일,"620,000",구입,㈜에이블라이프,2층 전시실 - CA,폐기대상아님,정상,엔에이블러트랙볼 본체,,
47,보조기기,컴퓨터,GWAT-19-CA-07,친플러스,2019년 12월 23일,"1,330,000",구입,㈜에이블라이프,2층 전시실 - CA,폐기대상아님,정상,"1. 거치대
2. USB케이블",,
48,보조기기,컴퓨터,GWAT-19-CA-08,손가락마우스,2019년 12월 23일,"210,000",구입,㈜에이블라이프,2층 전시실 - CA,폐기대상아님,정상,손가락 마우스 본체,,
49,보조기기,환경개조, GWAT-19-EC-03,이지업다운 높낮이 책상,2019년 12월 23일,"830,000",구입,㈜에이블라이프,상담실,폐기대상아님,정상,"1. 리모컨
2. 책상 본체",,
50,보조기기,컴퓨터,GWAT-19-CA-09,빅키키보드LX&키가드,2019년 12월 23일,"490,000",구입,㈜에이블라이프,2층 전시실 - CA,폐기대상아님,정상,"1. 본체
2. 키가드",,
51,보조기기,컴퓨터,GWAT-19-CA-10,키가드있는 확대키보드,2019년 12월 23일,"1,660,000",구입,㈜에이블라이프,2층 전시실 - CA,폐기대상아님,정상,"1. 본체
2. 키가드",,
52,보조기기,자세유지,GWAT-19-SP-05,책상용팔받침대(ERGO REST),2019년 12월 23일,"160,000",구입,㈜에이블라이프,상담실,폐기대상아님,정상,팔받침대,,
53,보조기기,감각,GWAT-19-S-13,"AD-2400 이어폰, 이어후크",2019년 12월 23일,"330,000",구입,㈜에이블라이프,2층 전시실 - s,폐기대상아님,정상,"AD-2400 이어폰, 이어후크",,
